variable_name,variable_label,value_label_set,value_labels
inactive1,Inactive categories,labels75,1.0 = None (0 minutes with raised breathing rate); 2.0 = 1-9 minutes; 3.0 = 10-19 minutes; 4.0 = 20-29 minutes
inactive2,Inactive categories,labels76,1.0 = 0 minutes a week of ANY activity; 2.0 = 0 minutes a week of moderate activity but some light activity; 3.0 = 1 to 29 minutes a week of moderate activity
walk10minsbr,"WALKING: At least 10 mins at least once in last week (1+ days,moderate intensity)",labels77,1.0 = Yes; 2.0 = No; 3.0 = Not stated
cycle10minsbr,"CYCLING: At least 10 mins at least once in last week (1+ days,moderate intensity)",labels77,1.0 = Yes; 2.0 = No; 3.0 = Not stated
sports10minsbr,"SPORTS/FITNESS/DANCE: At least 10 mins at least once in last week (1+ days,moderate intensity)",labels77,1.0 = Yes; 2.0 = No; 3.0 = Not stated
dayswalk_rbr,Days last week: WALK for 10+ mins: Raised breathing rate,labels78,1.0 = 1 day; 2.0 = 2 days; 3.0 = 3 days; 4.0 = 4 days; 5.0 = 5 days; 6.0 = 6 days; 7.0 = 7 days; 8.0 = Don't know; 9.0 = Not stated
dayscycle_rbr,Days last week: CYCLE for 10+ mins: Raised breathing rate,labels78,1.0 = 1 day; 2.0 = 2 days; 3.0 = 3 days; 4.0 = 4 days; 5.0 = 5 days; 6.0 = 6 days; 7.0 = 7 days; 8.0 = Don't know; 9.0 = Not stated
dayssport_rbr,Days last week: SPORTS/FITNESS/DANCE for 10+ mins: Raised breathing rate,labels78,1.0 = 1 day; 2.0 = 2 days; 3.0 = 3 days; 4.0 = 4 days; 5.0 = 5 days; 6.0 = 6 days; 7.0 = 7 days; 8.0 = Don't know; 9.0 = Not stated
ns_sec,Socio-economic status,labels79,1.0 = Higher managerial and professional occupations (NS-SEC 1); 2.0 = Lower managerial and professional occupations (NS-SEC 2); 3.0 = Intermediate occupations (NS-SEC 3); 4.0 = Small employers and own account workers (NS-SEC 4); 5.0 = Lower supervisory and technical occupations (NS-SEC 5); 6.0 = Semi-routine occupations (NS-SEC 6); 7.0 = Routine occupations (NS-SEC 7); 8.0 = Never worked and long-term unemployed (NS-SEC 8); 9.0 = Students/ unclassified (NS SEC 9); 10.0 = Not stated
ns_sec_summ,SUMMARY GROUPS:   Socio-economic status,labels80,1.0 = Higher occupations (NS-SEC1-2); 2.0 = Intermediate occupations (NS-SEC 3-5); 3.0 = Lower occupations (NS-SEC 6-8); 4.0 = Students/ unclassified (NS SEC 9); 5.0 = Not stated
dep_children,Any dependent children (0-15 or dependent 16-19)?,labels81,1.0 = Yes
no_dep_children,No dependent children (0-15 or dependent 16-19)?,labels81,1.0 = Yes
receive_oow_ben,Receive OOW benefits,labels82,1.0 = Yes; 2.0 = No; 3.0 = Not stated
low_income_fam,"Low Income family (dependent children 0-15 or dep 16-19, and on OOW benefits)",labels82,1.0 = Yes; 2.0 = No; 3.0 = Not stated
workage_ndc_bens,"Working age adult no dependent children, on OOW benefits?",labels82,1.0 = Yes; 2.0 = No; 3.0 = Not stated
